itemid,categoryid
8921,1188
99892,184
215759,1135
235215,342
191450,492
198784,959
346025,1663
128824,328
264416,1262
214813,1007
142473,141
112860,618
442630,48
371518,342
124901,1035
328100,729
383619,123
61941,1142
109524,1210
75028,1196
140365,1473
145224,1577
324979,1220
5147,1511
256255,1301
280287,342
299510,1287
163210,1248
175429,65
408230,1011
461109,996
465805,1542
68605,646
181477,65
71217,703
410281,765
105242,173
240429,769
196793,333
407275,942
420712,389
114705,646
165400,1483
390041,173
235076,1486
332022,342
98008,730
110798,960
109666,1206
118122,1114
226547,209
46887,988
238983,531
180517,1432
251822,1320
328643,1119
199972,739
324357,1577
248981,374
260561,1666
424649,619
257291,1374
14469,972
205614,1665
232763,936
305549,561
302892,1250
448683,1333
250072,769
464222,1301
417038,239
458430,730
251529,199
333909,1409
133456,1205
359550,1455
156576,1432
372546,173
35350,342
63491,499
397428,1301
393379,1301
314493,1135
23589,1022
131169,342
369045,618
332616,1273
389237,342
401571,64
208728,342
23642,769
33519,619
2815,50
115464,1593
334780,324
11981,691
451352,1205
440186,184
110721,1135
297543,1007
373901,1677
169107,1196
158398,1301
39162,1196
301810,396
210106,1007
435073,53
44426,535
404947,1113
316523,436
259824,1285
303685,1342
390111,575
19510,789
328676,225
368845,64
34846,691
429616,173
61512,352
58571,691
453298,924
135075,1625
9498,1533
97546,996
272200,686
288813,173
160934,389
74308,517
91285,686
245761,1301
274711,1236
461427,209
95775,173
136308,84
215086,173
399759,1247
443106,1163
302553,1040
432706,242
289564,242
242887,646
277193,1205
338353,1007
434630,1338
53300,1529
242238,844
216940,730
93954,730
192465,173
458906,1240
424283,958
295809,619
216868,1301
233901,1172
329330,48
254789,1567
3696,860
338229,1634
449840,1196
362875,1433
426778,1680
11165,911
413653,173
330367,564
62112,1007
331659,1018
23588,1510
6597,915
333396,1223
93995,166
340960,1051
364887,1464
19010,1142
389193,1029
186889,1301
340674,1603
200091,1142
346122,1221
440503,173
282800,1073
279185,1343
427526,1694
164962,1135
224286,242
138134,1172
448047,988
269178,769
365166,1135
245680,1142
303981,289
128218,531
21747,558
434641,342
322883,578
388565,1680
225041,1663
310258,683
308091,209
124900,988
261273,421
313208,1051
108267,360
412358,179
308727,730
296929,268
106031,586
158372,532
182397,48
330150,1070
202388,429
144101,1659
97498,1577
23112,1113
198380,284
224277,976
86943,769
121228,996
414606,819
212499,1378
201935,1070
248785,389
332430,646
222815,1378
275003,1096
364287,227
311637,1663
329782,988
317448,561
157761,926
294177,1245
365482,769
63739,1301
65577,1317
389506,1049
256721,195
189314,1007
344161,730
230339,208
334112,1318
337235,759
144361,1408
285282,719
84769,1119
88974,422
49663,575
49830,1002
12925,617
113209,1483
382576,818
281298,1680
298695,342
260721,1666
420999,1086
143790,619
182302,195
186183,337
289004,959
98583,769
74329,1477
403411,1244
414081,1580
103870,50
287148,547
358423,1542
15399,1114
135346,1498
406994,475
189357,342
167612,316
414942,1142
126597,1051
238811,800
143797,1003
113781,1483
109695,1535
338705,1287
90683,259
289169,1675
299290,191
61640,1280
108196,828
44867,739
60733,1393
69835,1408
45679,512
128281,342
283286,289
408634,434
156691,1575
243825,1277
422961,1084
259383,789
406302,1221
410278,436
333367,1317
331377,1069
403298,414
56427,1254
445214,999
248079,242
374437,84
118678,1070
323954,1533
113619,1639
311584,1193
368968,1244
247440,1084
446539,342
267901,1483
330144,167
311065,1220
446327,1279
96174,1169
71202,1477
178472,184
71480,567
437786,1051
241200,769
65082,1007
295088,936
302836,1061
254184,1135
265246,988
360848,984
350579,1221
382714,1320
42828,1035
18526,769
218946,43
105306,1675
102528,1301
458994,209
455396,987
148192,1535
265004,1542
221554,1069
437921,1542
210161,295
433960,1483
452238,1355
357124,914
261272,1059
36345,1007
458586,973
119912,1007
218727,619
85962,173
68954,1500
275344,1421
89125,1421
391860,1639
174075,1286
341797,430
291091,1666
361757,1217
121516,1051
208177,163
402252,236
34126,70
82037,643
287576,354
163241,1044
452924,342
268049,624
411535,236
227282,959
200506,403
193823,50
389779,209
424770,403
188600,1387
235197,1255
439351,414
376724,1007
344047,782
282174,1558
340046,342
181552,769
295792,914
14206,1302
14463,562
327747,1301
462223,988
102121,1493
348122,686
319907,1301
313884,1338
415074,694
99668,1387
208636,828
185032,1542
344601,567
176133,1084
