itemid,weighted_score
461686,2693
119736,1268
9877,1194
257040,1166
320130,966
312728,962
241555,902
309778,891
445351,868
420960,837
369447,830
409804,821
7943,794
37029,793
325310,792
315543,745
384302,731
29196,721
234255,709
48030,672
213834,664
38965,659
111530,657
248455,655
219512,643
190000,607
303828,589
268883,586
455183,577
65273,570
546,556
869,535
441852,532
17478,530
218794,528
266900,512
316753,509
46232,508
400946,505
416017,499
290999,499
231482,493
171878,488
58638,476
303715,473
46156,470
222888,463
122604,460
367664,459
369158,454
339703,440
355994,436
40870,433
444190,424
283115,421
158666,413
243980,411
399031,407
438484,406
179601,400
10572,397
12217,396
374092,391
23762,389
320494,388
379520,385
208939,384
315545,384
360487,377
417927,376
161623,373
254418,370
444593,370
450082,369
133907,366
243355,365
441668,363
310944,362
447661,359
422425,358
301721,356
292444,355
338660,354
204494,351
424515,350
350629,349
344071,348
172894,346
389158,344
283916,344
42002,343
308438,343
138427,343
253615,341
432152,334
448453,334
287449,333
382751,331
247909,330
257575,327
66752,326
380971,326
159822,320
162139,320
372188,315
318333,314
334401,313
306289,312
344723,310
368403,307
242905,306
46130,305
299222,305
22436,305
153778,303
118914,303
92466,301
393111,300
218746,299
464731,298
330506,298
116624,297
453618,296
272455,296
342530,296
459475,294
212216,293
354881,290
357054,290
118551,290
232172,290
456056,290
109618,289
454818,288
29757,287
321905,287
382885,286
255725,285
5411,284
170262,283
89044,282
32581,281
228644,280
286731,278
337327,278
210087,278
340960,277
412622,276
69533,276
51650,274
350384,273
198209,273
340375,272
191049,272
465522,271
5470,270
37115,269
180751,267
272770,266
80435,265
2836,263
4001,263
64951,262
112782,261
276494,261
76060,261
85914,259
442131,259
461190,259
449912,259
193828,258
11279,258
460188,256
11670,256
405770,256
187138,254
369933,254
63543,254
432478,253
328696,253
414460,252
280328,252
390591,252
12765,251
183511,248
120098,248
345279,247
211418,246
120541,246
37254,246
76196,244
358348,244
198784,243
76426,243
140527,243
335975,243
389814,243
11663,243
354153,242
272324,242
398579,242
84310,241
439963,240
291877,240
85579,239
268335,239
413901,239
244571,239
279052,239
188051,237
51354,236
422356,235
20388,234
446820,234
60980,233
388097,233
304685,233
100282,232
217605,230
314789,230
449489,230
350103,228
140861,228
299677,228
304537,228
359844,228
338395,227
227161,227
356339,227
361956,226
243169,226
389135,226
50648,226
351481,225
200425,225
77573,224
186702,224
92361,224
17108,223
57788,223
252319,222
264604,222
424506,222
325852,221
218626,221
338427,221
13925,221
266553,220
215363,219
354585,219
273872,218
132683,218
428257,218
16344,218
289103,217
88098,217
415610,216
186256,216
89775,216
456005,215
466385,214
227790,214
82278,214
381613,214
222604,213
33912,213
440248,212
61303,212
24734,211
393028,211
56782,210
385475,210
244458,210
372845,210
62549,210
309821,209
228287,209
239006,209
29940,209
128908,209
57245,209
394678,208
438322,208
277490,208
16813,207
235224,207
312717,205
340825,205
158912,205
137697,205
212917,205
347414,204
460553,204
445105,204
109583,203
190463,203
272907,203
396064,202
260957,202
330469,202
303229,201
263245,201
354233,200
268755,200
280375,200
365015,200
422671,199
231243,198
324290,198
89323,197
296619,197
449391,197
393768,196
225257,196
178274,195
228392,195
322887,195
387373,195
